reviewID,name,date,verifiedPurchase,rating,helpful,title,review,profile,country,reviewLink,reviewImage,productTitle,productASIN,productURL,productPrice,productRating,productReviewCount
product_B0CZMG5X67_1746434735,Amazon Customer,"May 05, 2025",False,4.0,1684,"65-Inch Q65 QLED 4K UHD Smart TV with Google TV (65Q651G, 2024 Model) Dolby Vision, Dolby Atmos, HDR Pro+, Game Accelerator Enhanced Gaming, Voice Remote, Works with Alexa, Streaming Television",Product listing from Amazon search. Price: Not available,https://www.amazon.com/TCL-65Q651G-Accelerator-Streaming-Television/dp/B0CZMG5X67/ref=sr_1_1,US,https://www.amazon.com/TCL-65Q651G-Accelerator-Streaming-Television/dp/B0CZMG5X67/ref=sr_1_1,https://m.media-amazon.com/images/I/81iUWMjX7HL._AC_UY218_.jpg,"65-Inch Q65 QLED 4K UHD Smart TV with Google TV (65Q651G, 2024 Model) Dolby Vision, Dolby Atmos, HDR Pro+, Game Accelerator Enhanced Gaming, Voice Remote, Works with Alexa, Streaming Television",B0CZMG5X67,https://www.amazon.com/TCL-65Q651G-Accelerator-Streaming-Television/dp/B0CZMG5X67/ref=sr_1_1,Not available,4.0,1684
product_B0D9PWNXLN_1746434735,Amazon Customer,"May 05, 2025",False,4.0,36,"Electric Ceiling TV Mount with Remote, Motorized Ceiling Mount TV Bracket Flip Down for 32 to 70 inch Flat Curved Screen Mount Drop Down for Flat Pitched Roof Indoor Outdoor",Product listing from Amazon search. Price: $169.99,https://www.amazon.com/dp/B0D9PWNXLN,US,https://www.amazon.com/dp/B0D9PWNXLN,https://m.media-amazon.com/images/I/61TAUyd7TjL._AC_UY218_.jpg,"Electric Ceiling TV Mount with Remote, Motorized Ceiling Mount TV Bracket Flip Down for 32 to 70 inch Flat Curved Screen Mount Drop Down for Flat Pitched Roof Indoor Outdoor",B0D9PWNXLN,https://www.amazon.com/dp/B0D9PWNXLN,$169.99,4.0,36
product_B0C1J1FS2C_1746434735,Amazon Customer,"May 05, 2025",False,4.0,2364,"32-Inch Class S3 1080p LED Smart TV with Roku TV (32S350R, 2023 Model), Compatible with Alexa, Google Assistant, and Apple HomeKit Compatibility, Streaming FHD Television,Black",Product listing from Amazon search. Price: $149.99,https://www.amazon.com/TCL-32S350R-Compatible-Compatibility-Television/dp/B0C1J1FS2C/ref=sr_1_3,US,https://www.amazon.com/TCL-32S350R-Compatible-Compatibility-Television/dp/B0C1J1FS2C/ref=sr_1_3,https://m.media-amazon.com/images/I/81RDsoUU-6L._AC_UY218_.jpg,"32-Inch Class S3 1080p LED Smart TV with Roku TV (32S350R, 2023 Model), Compatible with Alexa, Google Assistant, and Apple HomeKit Compatibility, Streaming FHD Television,Black",B0C1J1FS2C,https://www.amazon.com/TCL-32S350R-Compatible-Compatibility-Television/dp/B0C1J1FS2C/ref=sr_1_3,$149.99,4.0,2364
product_B0C1J14MZT_1746434735,Amazon Customer,"May 05, 2025",False,4.0,1352,"43-Inch Class S4 4K LED Smart TV with Roku TV (43S450R, 2023 Model), Dolby Vision, HDR, Dolby Atmos, Works with Alexa, Google Assistant and Apple HomeKit Compatibility, Streaming UHD Television",Product listing from Amazon search. Price: Not available,https://www.amazon.com/TCL-43S450R-Assistant-Compatibility-Television/dp/B0C1J14MZT/ref=sr_1_4,US,https://www.amazon.com/TCL-43S450R-Assistant-Compatibility-Television/dp/B0C1J14MZT/ref=sr_1_4,https://m.media-amazon.com/images/I/81xWdI3lUhL._AC_UY218_.jpg,"43-Inch Class S4 4K LED Smart TV with Roku TV (43S450R, 2023 Model), Dolby Vision, HDR, Dolby Atmos, Works with Alexa, Google Assistant and Apple HomeKit Compatibility, Streaming UHD Television",B0C1J14MZT,https://www.amazon.com/TCL-43S450R-Assistant-Compatibility-Television/dp/B0C1J14MZT/ref=sr_1_4,Not available,4.0,1352
product_B0CZLXG2ZB_1746434735,Amazon Customer,"May 05, 2025",False,4.0,548,"65-Inch QM7 QLED 4K Smart QD-Mini LED TV with Google TV (65QM751G, 2024 Model) Dolby Vision IQ, Dolby Atmos, HDR, Game Accelerator up to 240Hz, Voice Remote, Works with Alexa, Streaming Television",Product listing from Amazon search. Price: Not available,https://www.amazon.com/TCL-65QM751G-Accelerator-Streaming-Television/dp/B0CZLXG2ZB/ref=sr_1_5,US,https://www.amazon.com/TCL-65QM751G-Accelerator-Streaming-Television/dp/B0CZLXG2ZB/ref=sr_1_5,https://m.media-amazon.com/images/I/81rmyHoAcPL._AC_UY218_.jpg,"65-Inch QM7 QLED 4K Smart QD-Mini LED TV with Google TV (65QM751G, 2024 Model) Dolby Vision IQ, Dolby Atmos, HDR, Game Accelerator up to 240Hz, Voice Remote, Works with Alexa, Streaming Television",B0CZLXG2ZB,https://www.amazon.com/TCL-65QM751G-Accelerator-Streaming-Television/dp/B0CZLXG2ZB/ref=sr_1_5,Not available,4.0,548
product_B0CXG3HMX1_1746434735,Amazon Customer,"May 05, 2025",False,4.0,3163,VIZIO,Product listing from Amazon search. Price: Not available,https://www.amazon.com/VIZIO-40-inch-1080p-Virtual-Built/dp/B0CXG3HMX1/ref=sr_1_6,US,https://www.amazon.com/VIZIO-40-inch-1080p-Virtual-Built/dp/B0CXG3HMX1/ref=sr_1_6,https://m.media-amazon.com/images/I/81R3dLptKcL._AC_UY218_.jpg,VIZIO,B0CXG3HMX1,https://www.amazon.com/VIZIO-40-inch-1080p-Virtual-Built/dp/B0CXG3HMX1/ref=sr_1_6,Not available,4.0,3163
product_B0DK9DLNQR_1746434735,Amazon Customer,"May 05, 2025",False,4.0,82,"32 Inch Smart TV 720p HD Flat Screen Television (P-Series) with Google Play, Small LED Tvs for Living Room, Google Cast Built-in, Thin Streaming Live Android TV with WiFi, Bluetooth (2025 Model)",Product listing from Amazon search. Price: $156.99,https://www.amazon.com/dp/B0DK9DLNQR,US,https://www.amazon.com/dp/B0DK9DLNQR,https://m.media-amazon.com/images/I/811y81bAxJL._AC_UY218_.jpg,"32 Inch Smart TV 720p HD Flat Screen Television (P-Series) with Google Play, Small LED Tvs for Living Room, Google Cast Built-in, Thin Streaming Live Android TV with WiFi, Bluetooth (2025 Model)",B0DK9DLNQR,https://www.amazon.com/dp/B0DK9DLNQR,$156.99,4.0,82
product_B08DHDS4T3_1746434735,Amazon Customer,"May 05, 2025",False,4.0,23554,"43-inch 4K UHD Smart LED TV - 43S435, 2021 Model",Product listing from Amazon search. Price: Not available,https://www.amazon.com/TCL-4K-Smart-LED-43S435/dp/B08DHDS4T3/ref=sr_1_8,US,https://www.amazon.com/TCL-4K-Smart-LED-43S435/dp/B08DHDS4T3/ref=sr_1_8,https://m.media-amazon.com/images/I/61dz9ZC+y3L._AC_UY218_.jpg,"43-inch 4K UHD Smart LED TV - 43S435, 2021 Model",B08DHDS4T3,https://www.amazon.com/TCL-4K-Smart-LED-43S435/dp/B08DHDS4T3/ref=sr_1_8,Not available,4.0,23554
product_B0BC9Z7PJT_1746434735,Amazon Customer,"May 05, 2025",False,4.0,50,TCL 32-Inch Class HD 720p Smart LED TV Dolby Digital Advanced Digital Tuner Premium Design Compatible with Alexa & Google Assistant 32S331 (Renewed),Product listing from Amazon search. Price: $119.91,https://www.amazon.com/TCL-32-Inch-Advanced-Compatible-Assistant/dp/B0BC9Z7PJT/ref=sr_1_9,US,https://www.amazon.com/TCL-32-Inch-Advanced-Compatible-Assistant/dp/B0BC9Z7PJT/ref=sr_1_9,https://m.media-amazon.com/images/I/718ympokIeL._AC_UY218_.jpg,TCL 32-Inch Class HD 720p Smart LED TV Dolby Digital Advanced Digital Tuner Premium Design Compatible with Alexa & Google Assistant 32S331 (Renewed),B0BC9Z7PJT,https://www.amazon.com/TCL-32-Inch-Advanced-Compatible-Assistant/dp/B0BC9Z7PJT/ref=sr_1_9,$119.91,4.0,50
product_B0DJV1V6PR_1746434735,Amazon Customer,"May 05, 2025",False,3.0,2,"TCL Smart TV 43-Inch Q (2024) Class 4K UHD HDR QLED Smart Google TV Auto Game Mode | Chromecast Built-in | Dolby Atmos Audio | Compatible with Alexa, Google Assistant 43Q51BG (Renewed)",Product listing from Amazon search. Price: Not available,https://www.amazon.com/TCL-43-Inch-Chromecast-Compatible-Assistant/dp/B0DJV1V6PR/ref=sr_1_10,US,https://www.amazon.com/TCL-43-Inch-Chromecast-Compatible-Assistant/dp/B0DJV1V6PR/ref=sr_1_10,https://m.media-amazon.com/images/I/51rEhAjeGpL._AC_UY218_.jpg,"TCL Smart TV 43-Inch Q (2024) Class 4K UHD HDR QLED Smart Google TV Auto Game Mode | Chromecast Built-in | Dolby Atmos Audio | Compatible with Alexa, Google Assistant 43Q51BG (Renewed)",B0DJV1V6PR,https://www.amazon.com/TCL-43-Inch-Chromecast-Compatible-Assistant/dp/B0DJV1V6PR/ref=sr_1_10,Not available,3.0,2
